Player,Pos,Ht,PTS,AST,TRB,STL,BLK,eFG%,FT%,TOV,PF,ChrissyMetric
Tony Parker,G,6-2,0.9122439143069205,5.412481372464943,-2.6897188962329253,-0.12090219097757858,-0.9713902480002001,0.23180056429349674,0.06571033945451822,-0.46411666344819247,0.8421801462850689,3.218288338146051
Kent Bazemore,G-F,6-4,0.635990945756003,-0.04816131030196478,0.5686539077056693,1.624708094485214,-0.07766485276373888,0.45293176334111784,0.6372891998788881,-0.46411666344819247,-0.42249605001446194,2.907135034638534
Tim Duncan,F-C,6-11,-2.1265387397531663,0.6799243807336236,3.2236243405445246,-0.12090219097757858,2.305602867866824,-0.8296291911350846,-0.5370455497202731,-0.07431933499660599,0.11950803411390828,2.6402246166761723
Evan Turner,G,6-6,-0.37693660559735875,3.7742885676348714,0.3272929592657742,0.5773419232075383,-0.6734817829213797,-1.6699277475160448,0.7619973148805691,-0.853913991899779,0.661512118242279,2.5281727552964695
Jordan Clarkson,G,6-3,4.227279536917924,0.13386011245693233,-0.7588313087137577,0.9264639803000971,-1.2692987130790205,-1.0507603901827056,0.5229734277940151,-0.3341842206309969,-0.061159993928882064,2.336342430933605
Jabari Parker,F,6-8,2.938099017013644,-1.1402898468553462,0.6893343819256178,0.22821986611497982,-0.3755733178425592,-0.3873667930398424,0.1488490827889722,-0.07431933499660599,0.11950803411390828,2.1464610892227687
Ian Mahinmi,C,6-11,-1.4819484798010256,-1.50433269237314,2.9822633921046284,0.22821986611497982,1.7097859377091837,3.637221029626857,-1.7321649851530478,0.05561310782058959,-1.867840274356784,2.026816901692241
Lou Williams,G,6-2,4.043110891217313,0.3158815352158294,-2.569038422012977,0.22821986611497982,-0.6734817829213797,-0.8296291911350846,0.7931743436309894,-0.20425177781380158,0.8421801462850689,1.9461656085809373
Kobe Bryant,G-F,6-6,6.161050316774342,0.8619458034925199,-1.1208727313736013,0.22821986611497982,-0.9713902480002001,-3.969692217611302,0.7516049719637623,-0.7239815490825834,0.661512118242279,1.8783963305201965
Robert Covington,F-C,6-7,1.7410028199596717,-1.686354115132037,2.016819598345045,2.6720742657628893,0.22024361231508144,-0.12200935418269704,0.3878729698755274,-0.853913991899779,-2.5905123865279447,1.785223418515757
Joe Johnson,G-F,6-7,1.1884968828578364,2.864181453840386,-1.2415532055935494,-0.12090219097757858,-1.5672071781578407,0.09912184486492406,0.8035666865477961,-0.7239815490825834,0.4808440901994886,1.7825668344988788
Markieff Morris,F,6-9,2.938099017013644,0.3158815352158294,0.5686539077056693,-0.12090219097757858,-0.6734817829213797,-0.6969504717065119,-0.04860543263035599,-0.46411666344819247,-0.061159993928882064,1.7574179243222423
Nikola Mirotic,F,6-10,0.8201595914566152,-1.50433269237314,1.0513758045854615,0.22821986611497982,0.5181520773939017,0.49715800315064207,0.5541504565444353,-0.07431933499660599,-0.42249605001446194,1.668067721861828
